title,description,source,published_at,url,content
Harvard Hires Drag Queen ‘LaWhore Vagistan’ As Visiting Prof For Class About ‘Sexual Dissidents’,"Harvard has hired a professor in the Women, Gender, and Sexuality department whose alter ego is a drag queen who goes by the name of ""LaWhore Vagistan.""",The Daily Caller,2025-10-01T19:45:57Z,https://dailycaller.com/2025/10/01/harvards-latest-prof-moonlights-as-drag-queen-lawhore-vagistan/,"Harvard University has recently hired a visiting professor in the Women, Gender, and Sexuality department whose alter ego is a drag queen who goes by the name of “LaWhore Vagistan.”
The department a… [+2818 chars]"
"UN peacekeepers’ meet: India doesn’t invite Pak, China; reiterates troop policy","India is hosting a conclave for Army chiefs of UN troop-contributing nations, notably excluding Pakistan and China. Officials reiterated New Delhi's policy against deploying troops to foreign conflict zones like Ukraine or Gaza unless explicitly mandated by t…",The Times of India,2025-10-01T19:44:03Z,https://timesofindia.indiatimes.com/india/un-peacekeepers-meet-india-doesnt-invite-pak-china-reiterates-troop-policy/articleshow/124265790.cms,"Navratri 2025: Shraddha Kapoor, Alia Bhatt, and other divas' inspired pink ethnic looks for day 9"
Protests in Pakistan-administered Kashmir leave 4 people dead and over 100 injured,"Thousands of demonstrators demanding subsidies on food, electricity and other services have clashed with police in Pakistan-administered Kashmir",ABC News,2025-10-01T19:02:53Z,https://abcnews.go.com/International/wireStory/protests-pakistan-administered-kashmir-leave-4-people-dead-126131616,"ISLAMABAD -- Thousands of demonstrators demanding subsidies on food, electricity and other services clashed with police in Pakistan-administered Kashmir on Wednesday, leaving four people dead and mor… [+2750 chars]"
"Modi hails RSS’ role in nation-building, says it showed no bitterness despite attacks","STATE TIMES NEWS NEW DELHI: Prime Minister Narendra Modi on Wednesday lauded the RSS on its centenary celebrations, saying the organisation never displayed any bitterness despite several attacks on it as it continued to work on the principle of nation first. …",Statetimes.in,2025-10-01T19:02:11Z,https://statetimes.in/modi-hails-rss-role-in-nation-building-says-it-showed-no-bitterness-despite-attacks/,"STATE TIMES NEWS
NEW DELHI: Prime Minister Narendra Modi on Wednesday lauded the RSS on its centenary celebrations, saying the organisation never displayed any bitterness despite several attacks on … [+5593 chars]"
Trump says snubbing him for Nobel would ‘insult’ US,The president has claimed he deserves the award because he ended eight wars Read Full Article at RT.com,RT,2025-10-01T18:46:06Z,https://www.rt.com/news/625719-trump-snubbing-nobel-insult-us/,"US President Donald Trump has suggested that denying him the Nobel Peace Prize would amount to an insult to the United States.
Speaking to top military brass in Quantico, Virginia, on Tuesday, Trump… [+1529 chars]"
China has found a way to outplay the US in this key region. It might serve as a useful blueprint,Washington’s warships guard the chokepoints. Beijing digs for exits on land. The clash is just beginning. Read Full Article at RT.com,RT,2025-10-01T18:23:26Z,https://www.rt.com/news/625708-new-cold-war-front-line/,"The rivalry between China and the United States has become the defining axis of global geopolitics, and nowhere is it sharper than in the Indo-Pacific. Washington, guided by the doctrines of naval st… [+11564 chars]"
"Pakistani lawmaker criticises 'salesman' Munir's rare earth display for Trump, calls it a 'joke'","Pakistani senator Aimal Wali Khan criticised Army chief Asim Munir for presenting rare earth minerals to US President Trump, questioning his official capacity and calling it a “mockery” and “dictatorship.” The photo, taken during Munir’s third US visit since …",The Times of India,2025-10-01T15:58:48Z,https://economictimes.indiatimes.com/news/new-updates/pakistani-lawmaker-criticises-salesman-munirs-rare-earth-display-for-trump-calls-it-a-joke/articleshow/124263014.cms,"Pakistani senator Aimal Wali Khan criticised Pakistan Army chief Asim Munir for showing rare earth minerals to US President Donald Trump, questioning in what official capacity Munir was showcasing th… [+1579 chars]"
"Asia Cup Trophy Drama: Mohsin Naqvi Says He Won't Ever Apologise To BCCI, Thrashes 'False' Media Reports",The fire around the Asia Cup 2025 trophy has gotten a fresh batch of fuel after Asian Cricket Council (ACC) Chairman Mohsin Naqvi refuted rumours of apologising to the Board of Control for Cricket India (BCCI) via a post on X on Wednesday. He also said that t…,Ndtvprofit.com,2025-10-01T14:29:14Z,https://www.ndtvprofit.com/sports/asia-cup-trophy-drama-mohsin-naqvi-says-he-wont-ever-apologise-to-bcci-thrashes-false-media-reports,The fire around the Asia Cup 2025 trophy has gotten a fresh batch of fuel after Asian Cricket Council (ACC) Chairman Mohsin Naqvi refuted rumours of apologising to the Board of Control for Cricket In… [+1935 chars]
"RSS at 100: Patel vs Nehru, and many twists in between, in Sangh’s ties with Congress","While Patel accused RSS of spreading “communal poison” and banned it after Gandhi's assassination, he also thought its members were patriots, whose “enthusiasam and discipline” needed to be turned into “right channels”",The Indian Express,2025-10-01T14:11:33Z,https://indianexpress.com/article/political-pulse/rss-at-100-patel-vs-nehru-twists-between-sanghs-ties-congress-10282543/,"On December 18, 1947, Congress stalwart and then Union Home Minister Sardar Vallabhbhai Patel said in Jaipur that he appreciated the enthusiasm of young men of the RSS, but that it should be diverted… [+8809 chars]"
Businesses look to import palm oil sustainably as EU legislation bites,New EU legislation and a fresh free trade deal will have major implications for an ingredient found in much of the food on European plates,EURACTIV,2025-10-01T14:01:43Z,https://www.euractiv.com/news/businesses-look-to-import-palm-oil-sustainably-as-eu-legislation-bites/,"Palm oil, most of which is imported to Europe from Indonesia and Malaysia, has been a focus of EU policymaking for two decades because of concerns that EU biofuels policy was driving unsustainable pr… [+7499 chars]"
